Gene,Virulence_factor,Species
bepA, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
virD4, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bepB, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bepC, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bepD, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bepE, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bepF, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bepG, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwN, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL1, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL2, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL3, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL4, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL5, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL6, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL7, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwL8, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwM, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwK, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwJ1, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwI1, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwH1, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwJ2, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwI2, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwH2, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwG, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwF, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwE, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
trwD, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
korB, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
korA, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
AYT27_RS06815, Effector delivery system ,VFC0086)] [Bartonella henselae str. Houston-1]
bscC, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscW, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscU, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscT, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscS, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscR, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscQ, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscP, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscO, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscN, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscL, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscK, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscJ, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscI, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bcr4, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bcrH2, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bopB, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bopD, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bcrH1, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
btc22, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bsp22, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bopN, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
orf4, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscX, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscY, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bcrD, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscD, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscE, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bscF, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
btrS, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
bopC/bteA, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
BP_RS11160, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
btrU/bspR, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
BP_RS11155, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
BP_RS11150, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
btcA, Effector delivery system ,VFC0086)] [Bordetella pertussis Tohama I]
virB1, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB2, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB3, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB4, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB5, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB6, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB7, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB8, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB9, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB10, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB11, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
virB12, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
vceA, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
vceC, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
ricA, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bspA, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bspB, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bspC, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bspE, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bspF, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bspL, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
BPE005, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
BPE043, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
BPE123, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
BPE275, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
sepA, Effector delivery system ,VFC0086)] [Brucella melitensis bv. 1 str. 16M]
bprC, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bprD, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bprB, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bicP, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bopA, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bopE, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bapC, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bapB, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bapA, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bipD, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bprA, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bipC, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bipB, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bicA, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaZ, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaY, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaX, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
spaP, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaV, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaU, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaT, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaS, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaR, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaQ, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaP, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaO, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaN, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaM, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaL, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bsaK, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
basJ, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
orgA, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
orgB, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bprP, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bprQ, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
bopC, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssB-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssC-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssD-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssE-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssF-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssG-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssH-5/clpV, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
vgrG-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tagAB-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tagB-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tagC-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tagD-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssJ-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssK-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssL-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssM-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
tssA-5, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
BPS_RS26875, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
BPS_RS26880, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
chbp, Effector delivery system ,VFC0086)] [Burkholderia pseudomallei K96243]
virB8, Effector delivery system ,VFC0086)] [Campylobacter jejuni subsp. jejuni 81-176]
virB9, Effector delivery system ,VFC0086)] [Campylobacter jejuni subsp. jejuni 81-176]
virB10, Effector delivery system ,VFC0086)] [Campylobacter jejuni subsp. jejuni 81-176]
virD4, Effector delivery system ,VFC0086)] [Campylobacter jejuni subsp. jejuni 81-176]
virB4, Effector delivery system ,VFC0086)] [Campylobacter jejuni subsp. jejuni 81-176]
scc1, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
copN, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsV, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsU, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsJ, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_560, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsL, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsR, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsS, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsT, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
scc2, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_577, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
copB, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
copD, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
scc4, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsD, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsE, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsF, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsG, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_668, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsN, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsO, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsP, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsQ, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
pkn5, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsC, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
copD2, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
copB2, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
scc3, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_863, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
tarp, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_847, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incA, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incB, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incC, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
inaC, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
filF, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
filI, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_718, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
tmeA, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cadD, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_621, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incE, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
flhA, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_061, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
slc1, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
mcsc, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT274, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_584, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_622, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cdsZ, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incD, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incG, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_228, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_850, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
NUE, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
tepP, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_082, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
incV, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_006, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
glgX, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_053, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_083, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
mrcA, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
cteG, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_117, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_134, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_135, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_142, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_143, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_144, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_147, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_156, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_161, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_163, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_179, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_192, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_203, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_222, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_224, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_225, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_226, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_227, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_249, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_288, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_345, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_358, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_383, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_429, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_440, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
crpA, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_449, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_473, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_483, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_529, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_550, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_565, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_606.1, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_618, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_619, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_620, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_652.1, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_656, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_695, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_711, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_712, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
yycJ, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
glgA, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_848, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CT_849, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
CBUG_RS02435, Effector delivery system ,VFC0086)] [Coxiella burnetii CbuG_Q212]
CBUK_RS06760, Effector delivery system ,VFC0086)] [Coxiella burnetii CbuK_Q154]
CBUD_RS12405, Effector delivery system ,VFC0086)] [Coxiella burnetii Dugway 5J108-111]
CBUD_RS05145, Effector delivery system ,VFC0086)] [Coxiella burnetii Dugway 5J108-111]
CBUD_RS11275, Effector delivery system ,VFC0086)] [Coxiella burnetii Dugway 5J108-111]
CBUD_RS06720*, Effector delivery system ,VFC0086)] [Coxiella burnetii Dugway 5J108-111]
CBUD_RS08635, Effector delivery system ,VFC0086)] [Coxiella burnetii Dugway 5J108-111]
icmH/dotU, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmB/dotO, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmJ/dotN, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmD/dotP, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmC/dotE, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmG/dotF, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmE/dotG, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmK/dotH, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmL.1/dotI, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmL.2/dotI, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmN/dotK, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmO/dotL, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmP/dotM, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmQ, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxigA/icmR, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmT, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmS, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
dotD, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
dotC, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
dotB, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
dotA, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmV, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmW, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
icmX, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cetCb1, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cirA/coxCC1, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cem1, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
ankA, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
mceA, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0113, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxK1, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0201, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0270, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0295, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0372, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cetCb2, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC3, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cirB, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
ankF, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0469, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0513, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0590, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cetCb3, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0635, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_0637, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cvpA, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
phnB, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
ankG, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC4, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxH2/rimL, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC5, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cetCB4, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cirC/coxDFB1, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cem3, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cem4, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_1079, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_1198, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
ankI, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxU2, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC6, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_1370, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
cem6, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_1409, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxDFB4, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
CBU_1434, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxTPR1, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC7/cig44, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC10/cig49, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
coxCC11, Effector delivery system ,VFC0086)] [Coxiella burnetii RSA 493]
